"State.UnionTerritory","month","Cases_type","Cases_counts","Cases_size"
"Rajasthan","Apr","Cured",768,0.124594419208306
"Rajasthan","Apr","Deaths",51,0.0544871794871795
"Rajasthan","May","Confirmed",8617,0.0593469562043293
"Rajasthan","May","Cured",5739,0.0797315883799442
"Rajasthan","May","Deaths",193,0.0413630518645521
"Rajasthan","Jun","Confirmed",17660,0.0409174214146862
"Rajasthan","Jun","Cured",13618,0.0529827605660106
"Tamil Nadu","Mar","Confirmed",74,0.0772442588726514
"Tamil Nadu","Mar","Cured",4,0.037037037037037
"Tamil Nadu","Apr","Confirmed",2162,0.0803747351202647
"Tamil Nadu","Apr","Cured",1210,0.196301103179753
"Tamil Nadu","May","Confirmed",21184,0.145898331232739
"Tamil Nadu","May","Cured",12000,0.166715291960155
"Tamil Nadu","Jun","Confirmed",86224,0.199777108950165
"Tamil Nadu","Jun","Cured",47749,0.185774257179207
"Tamil Nadu","Jun","Deaths",1141,0.0753284478774675
"Tamil Nadu","Jul","Confirmed",239978,0.202667175633119
"Tamil Nadu","Jul","Cured",178178,0.238750412036007
"Tamil Nadu","Jul","Deaths",3838,0.126775450881945
"Tamil Nadu","Aug","Confirmed",422085,0.167342907754742
"Tamil Nadu","Aug","Cured",362133,0.186552736140797
"Tamil Nadu","Aug","Deaths",7231,0.138716236955187
"Tamil Nadu","Sep","Confirmed",591943,0.142181782982324
"Tamil Nadu","Sep","Cured",536209,0.152890282106634
"Tamil Nadu","Sep","Deaths",9453,0.124177339901478
"Tamil Nadu","Oct","Confirmed",722011,0.135648019418789
"Tamil Nadu","Oct","Cured",687388,0.141641812634736
"Tamil Nadu","Oct","Deaths",11091,0.119251653136928
"Tamil Nadu","Nov","Confirmed",780505,0.128790530186211
"Tamil Nadu","Nov","Cured",757750,0.132861886233755
"Tamil Nadu","Nov","Deaths",11703,0.113941057919794
"Tamil Nadu","Dec","Confirmed",792788,0.127452570704853
"Tamil Nadu","Dec","Cured",770378,0.130519051683564
"Tamil Nadu","Dec","Deaths",11822,0.112460878416301
"Telangana","Mar","Confirmed",79,0.0824634655532359
"Uttar Pradesh","Mar","Confirmed",101,0.105427974947808
"Uttar Pradesh","Mar","Cured",14,0.12962962962963
"Uttar Pradesh","Apr","Confirmed",2203,0.0818989553515001
"Uttar Pradesh","Apr","Cured",513,0.0832251784555483
"Uttar Pradesh","Apr","Deaths",39,0.0416666666666667
"Uttar Pradesh","May","Confirmed",7445,0.0512751640874123
"Uttar Pradesh","May","Cured",4410,0.061267869795357
"Uttar Pradesh","May","Deaths",201,0.0430775825117874
"Uttar Pradesh","Jun","Confirmed",22828,0.052891443717693
"Uttar Pradesh","Jun","Cured",15506,0.0603282923583904
"Uttar Pradesh","Jun","Deaths",672,0.0443652208358091
"Uttar Pradesh","Jul","Confirmed",81039,0.0684393788019414
"Uttar Pradesh","Jul","Cured",46803,0.0627138902362876
"Uttar Pradesh","Jul","Deaths",1587,0.0524212195283081
"Uttar Pradesh","Aug","Confirmed",225632,0.089455713807688
"Uttar Pradesh","Aug","Cured",167543,0.0863097399884503
"Uttar Pradesh","Aug","Deaths",3423,0.0656652854511971
"Uttar Pradesh","Sep","Confirmed",394856,0.0948424596646445
"Uttar Pradesh","Sep","Cured",336981,0.0960840272255328
"Uttar Pradesh","Sep","Deaths",5715,0.0750738916256158
"Uttar Pradesh","Oct","Confirmed",480082,0.0901955405923332
"Uttar Pradesh","Oct","Cured",448644,0.0924466958801995
"Uttar Pradesh","Oct","Deaths",7007,0.0753400354819633
"Uttar Pradesh","Nov","Confirmed",541873,0.0894140472688745
"Uttar Pradesh","Nov","Cured",509556,0.0893442049511414
"Uttar Pradesh","Nov","Deaths",7742,0.0753765419477953
"Uttar Pradesh","Dec","Confirmed",558173,0.0897346878964365
"Uttar Pradesh","Dec","Cured",528832,0.089595823271073
"Uttar Pradesh","Dec","Deaths",7967,0.0757888528457682
"West Bengal","Mar","Deaths",2,0.0666666666666667
"West Bengal","May","Deaths",309,0.0662237462494642
"West Bengal","Jun","Confirmed",17907,0.0414897092453447
"West Bengal","Jun","Cured",11719,0.0455944317133998
"West Bengal","Jun","Deaths",653,0.0431108470324157
"West Bengal","Jul","Confirmed",67692,0.0571675172430684
"West Bengal","Jul","Cured",46256,0.0619809351274431
"West Bengal","Jul","Deaths",1536,0.0507366056682302
"West Bengal","Aug","Confirmed",159785,0.0633495303448156
"West Bengal","Aug","Cured",130952,0.0674598943015677
"West Bengal","Aug","Deaths",3176,0.060926949048496
"West Bengal","Sep","Confirmed",253768,0.0609538193776402
"West Bengal","Sep","Cured",222805,0.0635288092978086
"West Bengal","Sep","Deaths",4899,0.0643546798029557
"West Bengal","Oct","Deaths",6784,0.0729423149293049
"West Bengal","Nov","Deaths",8376,0.0815492011566434
"West Bengal","Dec","Deaths",8820,0.0839033114220755
